word,category,difficulty,hint,word_type
cloud,tech,medium,A mass of water vapor in the sky.,noun
server,tech,hard,A computer or system that provides services to other systems.,noun
laptop,tech,easy,No hint available.,noun
data,tech,hard,No hint available.,noun
pixel,tech,hard,No hint available.,noun
robot,tech,medium,A machine capable of carrying out complex tasks automatically.,noun
internet,tech,hard,No hint available.,noun
app,tech,hard,No hint available.,noun
disk,tech,hard,No hint available.,noun
debug,tech,hard,No hint available.,noun
code,tech,hard,No hint available.,noun
web,tech,hard,No hint available.,noun
byte,tech,hard,No hint available.,noun
script,tech,hard,No hint available.,noun
input,tech,hard,No hint available.,noun
ninja,anime,hard,No hint available.,noun
manga,anime,hard,No hint available.,noun
chakra,anime,hard,No hint available.,noun
kami,anime,hard,No hint available.,noun
yami,anime,hard,No hint available.,noun
sword,anime,medium,No hint available.,noun
jutsu,anime,hard,No hint available.,noun
shinobi,anime,hard,No hint available.,noun
otaku,anime,hard,No hint available.,noun
neko,anime,hard,"A Japanese word for cat, often used in anime culture.",noun
kyubi,anime,hard,No hint available.,noun
bento,anime,hard,No hint available.,noun
goku,anime,hard,No hint available.,noun
sakura,anime,hard,No hint available.,noun
zoro,anime,hard,No hint available.,noun
pizza,food,easy,"A popular Italian dish with cheese, tomato, and toppings.",noun
pasta,food,hard,No hint available.,noun
sushi,food,medium,Japanese dish consisting of vinegared rice and seafood.,noun
salad,food,hard,No hint available.,noun
tacos,food,hard,A Mexican dish with a folded tortilla and various fillings.,noun
burger,food,hard,No hint available.,noun
soup,food,hard,No hint available.,noun
cheese,food,hard,No hint available.,noun
fries,food,hard,No hint available.,noun
cake,food,easy,"A sweet baked dessert, often layered.",noun
bread,food,hard,No hint available.,noun
rice,food,hard,No hint available.,noun
steak,food,hard,No hint available.,noun
beef,food,hard,No hint available.,noun
roast,food,hard,No hint available.,noun
soccer,sports,hard,A game played with a ball on a rectangular field with goals.,noun
basket,sports,hard,No hint available.,noun
tennis,sports,hard,No hint available.,noun
swim,sports,hard,A sport where participants move through water.,verb
rugby,sports,hard,No hint available.,noun
hockey,sports,hard,No hint available.,noun
golf,sports,hard,No hint available.,noun
cricket,sports,medium,No hint available.,noun
fence,sports,hard,No hint available.,noun
track,sports,hard,No hint available.,noun
volley,sports,medium,No hint available.,noun
wrestle,sports,hard,No hint available.,noun
judo,sports,hard,No hint available.,noun
ski,sports,hard,No hint available.,noun
race,sports,medium,No hint available.,noun
piano,music,easy,"A large musical instrument with keys, played by pressing them.",noun
guitar,music,easy,A string instrument often used in rock and pop music.,noun
drums,music,easy,No hint available.,noun
flute,music,medium,"A musical instrument, typically made of wood or metal, that is blown.",noun
vocal,music,hard,No hint available.,noun
jazz,music,hard,No hint available.,noun
blues,music,hard,No hint available.,noun
rock,music,hard,No hint available.,noun
bass,music,hard,No hint available.,noun
sax,music,hard,No hint available.,noun
pop,music,hard,No hint available.,noun
rap,music,hard,No hint available.,noun
folk,music,hard,No hint available.,noun
violin,music,hard,No hint available.,noun
chords,music,hard,No hint available.,noun
actor,movies,easy,No hint available.,noun
scene,movies,hard,No hint available.,noun
title,movies,hard,No hint available.,noun
drama,movies,hard,No hint available.,noun
comedy,movies,hard,No hint available.,noun
action,movies,hard,No hint available.,noun
ghost,movies,hard,No hint available.,noun
sword,movies,medium,No hint available.,noun
alien,movies,medium,No hint available.,noun
fight,movies,hard,No hint available.,noun
hero,movies,hard,No hint available.,noun
villain,movies,hard,No hint available.,noun
plot,movies,hard,No hint available.,noun
romance,movies,hard,No hint available.,noun
thriller,movies,hard,No hint available.,noun
shirt,fashion,easy,No hint available.,noun
jeans,fashion,easy,No hint available.,noun
shoes,fashion,hard,No hint available.,noun
dress,fashion,hard,No hint available.,noun
scarf,fashion,medium,No hint available.,noun
coat,fashion,hard,No hint available.,noun
hat,fashion,hard,No hint available.,noun
suit,fashion,hard,No hint available.,noun
skirt,fashion,hard,No hint available.,noun
gloves,fashion,hard,No hint available.,noun
boots,fashion,hard,No hint available.,noun
bag,fashion,hard,No hint available.,noun
watch,fashion,hard,No hint available.,noun
tie,fashion,hard,No hint available.,noun
belt,fashion,hard,No hint available.,noun
flight,travel,hard,No hint available.,noun
hotel,travel,hard,No hint available.,noun
beach,travel,hard,No hint available.,noun
tour,travel,hard,No hint available.,noun
guide,travel,hard,No hint available.,noun
trip,travel,easy,No hint available.,noun
maps,travel,hard,No hint available.,noun
visa,travel,hard,No hint available.,noun
luggage,travel,hard,No hint available.,noun
trip,travel,easy,No hint available.,noun
passport,travel,hard,No hint available.,noun
hostel,travel,hard,No hint available.,noun
train,travel,easy,No hint available.,noun
cruise,travel,hard,No hint available.,noun
bus,travel,hard,No hint available.,noun
level,gaming,hard,No hint available.,noun
boss,gaming,easy,A leader or manager in a company or team.,noun
quest,gaming,hard,No hint available.,noun
team,gaming,hard,No hint available.,noun
loot,gaming,hard,No hint available.,noun
spell,gaming,hard,No hint available.,noun
role,gaming,hard,No hint available.,noun
win,gaming,hard,No hint available.,noun
map,gaming,easy,No hint available.,noun
game,gaming,hard,No hint available.,noun
arcade,gaming,hard,No hint available.,noun
puzzle,gaming,hard,No hint available.,noun
combat,gaming,hard,No hint available.,noun
skill,gaming,hard,No hint available.,noun
enemy,gaming,hard,No hint available.,noun
atom,science,hard,No hint available.,noun
wave,science,hard,No hint available.,noun
planck,science,hard,No hint available.,noun
field,science,hard,No hint available.,noun
quark,science,hard,No hint available.,noun
cell,science,hard,No hint available.,noun
genome,science,hard,No hint available.,noun
virus,science,hard,No hint available.,noun
stone,science,hard,No hint available.,noun
magnet,science,hard,No hint available.,noun
light,science,hard,No hint available.,noun
space,science,hard,No hint available.,noun
earth,science,hard,No hint available.,noun
star,science,hard,No hint available.,noun
speed,science,hard,No hint available.,noun
paint,art,hard,No hint available.,noun
brush,art,hard,No hint available.,noun
sketch,art,hard,No hint available.,noun
shade,art,hard,No hint available.,noun
color,art,hard,No hint available.,noun
frame,art,hard,No hint available.,noun
canvas,art,hard,No hint available.,noun
shape,art,hard,No hint available.,noun
style,art,hard,No hint available.,noun
draft,art,hard,No hint available.,noun
sculpt,art,hard,No hint available.,verb
water,art,hard,No hint available.,noun
photo,art,medium,No hint available.,noun
model,art,hard,No hint available.,noun
tone,art,hard,No hint available.,noun
world,history,hard,No hint available.,noun
empire,history,hard,No hint available.,noun
medal,history,hard,No hint available.,noun
clash,history,hard,No hint available.,noun
battle,history,medium,No hint available.,noun
kings,history,hard,No hint available.,noun
treaty,history,hard,No hint available.,noun
troop,history,hard,No hint available.,noun
ship,history,hard,No hint available.,noun
viking,history,hard,No hint available.,noun
archer,history,hard,No hint available.,noun
fame,history,hard,No hint available.,noun
glory,history,hard,No hint available.,noun
crown,history,hard,No hint available.,noun
age,history,hard,No hint available.,noun
poem,literature,medium,No hint available.,noun
story,literature,hard,No hint available.,noun
novel,literature,hard,No hint available.,noun
verse,literature,hard,No hint available.,noun
plot,literature,hard,No hint available.,noun
page,literature,hard,No hint available.,noun
line,literature,hard,No hint available.,noun
book,literature,hard,No hint available.,noun
genre,literature,hard,No hint available.,noun
author,literature,hard,No hint available.,noun
chapter,literature,hard,No hint available.,noun
essay,literature,hard,No hint available.,noun
prose,literature,hard,No hint available.,noun
title,literature,hard,No hint available.,noun
read,literature,hard,No hint available.,noun
study,education,hard,No hint available.,noun
learn,education,hard,No hint available.,noun
grade,education,medium,No hint available.,noun
class,education,hard,No hint available.,noun
